paper_title,paper_link,conference,year,repo_link,repo_star,last_update
Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,http://papers.nips.cc/paper/7112-scalable-trust-region-method-for-deep-reinforcement-learning-using-kronecker-factored-approximation.pdf,NIPS,2017,https://github.com/openai/baselines,6449,2019-01-02
Attention is All you Need,http://papers.nips.cc/paper/7181-attention-is-all-you-need.pdf,NIPS,2017,https://github.com/tensorflow/tensor2tensor,6288,2019-01-02
Video-to-Video Synthesis,https://arxiv.org/abs/1808.06601,NIPS,2018,https://github.com/NVIDIA/vid2vid,5578,2019-01-02
Deep Residual Learning for Image Recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html,CVPR,2016,https://github.com/KaimingHe/deep-residual-networks,4468,2019-01-02
Deep Image Prior,http://openaccess.thecvf.com/content_cvpr_2018/papers/Ulyanov_Deep_Image_Prior_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/DmitryUlyanov/deep-image-prior,3736,2019-01-02
Large Pose 3D Face Reconstruction From a Single Image via Direct Volumetric CNN Regression,http://openaccess.thecvf.com/content_iccv_2017/html/Jackson_Large_Pose_3D_ICCV_2017_paper.html,ICCV,2017,https://github.com/AaronJackson/vrn,3354,2019-01-02
StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Choi_StarGAN_Unified_Generative_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yunjey/StarGAN,3405,2019-01-02
Convolutional Pose Machines,http://openaccess.thecvf.com/content_cvpr_2016/html/Wei_Convolutional_Pose_Machines_CVPR_2016_paper.html,CVPR,2016,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation,3260,2019-01-02
Densely Connected Convolutional Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Huang_Densely_Connected_Convolutional_CVPR_2017_paper.html,CVPR,2017,https://github.com/liuzhuang13/DenseNet,3130,2019-01-02
A Unified Approach to Interpreting Model Predictions,http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,NIPS,2017,https://github.com/slundberg/shap,3122,2019-01-02
Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network,http://openaccess.thecvf.com/content_ECCV_2018/html/Yao_Feng_Joint_3D_Face_ECCV_2018_paper.html,ECCV,2018,https://github.com/YadiraF/PRNet,2434,2019-01-02
Learning to See in the Dark,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Learning_to_See_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/cchen156/Learning-to-See-in-the-Dark,2326,2019-01-02
Glow: Generative Flow with Invertible 1x1 Convolutions,http://arxiv.org/abs/1807.03039v2,NIPS,2018,https://github.com/openai/glow,2088,2019-01-02
Deformable Convolutional Networks,http://openaccess.thecvf.com/content_iccv_2017/html/Dai_Deformable_Convolutional_Networks_ICCV_2017_paper.html,ICCV,2017,https://github.com/msracver/Deformable-ConvNets,2165,2019-01-02
"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games",http://papers.nips.cc/paper/6859-elf-an-extensive-lightweight-and-flexible-research-platform-for-real-time-strategy-games.pdf,NIPS,2017,https://github.com/facebookresearch/ELF,1823,2019-01-02
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2014/html/Girshick_Rich_Feature_Hierarchies_2014_CVPR_paper.html,CVPR,2014,https://github.com/rbgirshick/rcnn,1681,2019-01-02
Fully Convolutional Instance-Aware Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Li_Fully_Convolutional_Instance-Aware_CVPR_2017_paper.html,CVPR,2017,https://github.com/msracver/FCIS,1395,2019-01-02
PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Qi_PointNet_Deep_Learning_CVPR_2017_paper.html,CVPR,2017,https://github.com/charlesq34/pointnet,1523,2019-01-02
Improved Training of Wasserstein GANs,http://papers.nips.cc/paper/7159-improved-training-of-wasserstein-gans.pdf,NIPS,2017,https://github.com/igul222/improved_wgan_training,1405,2019-01-02
Aggregated Residual Transformations for Deep Neural Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html,CVPR,2017,https://github.com/facebookresearch/ResNeXt,1361,2019-01-02
Squeeze-and-Excitation Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hu_Squeeze-and-Excitation_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/hujie-frank/SENet,1477,2019-01-02
Efficient Neural Architecture Search via Parameters Sharing,http://proceedings.mlr.press/v80/pham18a.html,ICML,2018,https://github.com/carpedm20/ENAS-pytorch,1382,2019-01-02
Multimodal Unsupervised Image-to-image Translation,http://openaccess.thecvf.com/content_ECCV_2018/html/Xun_Huang_Multimodal_Unsupervised_Image-to-image_ECCV_2018_paper.html,ECCV,2018,https://github.com/NVlabs/MUNIT,1296,2019-01-02
Conditional Random Fields as Recurrent Neural Networks,http://openaccess.thecvf.com/content_iccv_2015/html/Zheng_Conditional_Random_Fields_ICCV_2015_paper.html,ICCV,2015,https://github.com/torrvision/crfasrnn,1189,2019-01-02
Photographic Image Synthesis With Cascaded Refinement Networks,http://openaccess.thecvf.com/content_iccv_2017/html/Chen_Photographic_Image_Synthesis_ICCV_2017_paper.html,ICCV,2017,https://github.com/CQFIO/PhotographicImageSynthesis,1142,2019-01-02
Unsupervised Image-to-Image Translation Networks,http://papers.nips.cc/paper/6672-unsupervised-image-to-image-translation-networks.pdf,NIPS,2017,https://github.com/mingyuliutw/unit,1205,2019-01-02
Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,http://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,CVPR,2017,https://github.com/tensorlayer/srgan,1301,2019-01-02
High-Resolution Image Inpainting Using Multi-Scale Neural Patch Synthesis,http://openaccess.thecvf.com/content_cvpr_2017/html/Yang_High-Resolution_Image_Inpainting_CVPR_2017_paper.html,CVPR,2017,https://github.com/leehomyc/Faster-High-Res-Neural-Inpainting,1072,2019-01-02
SphereFace: Deep Hypersphere Embedding for Face Recognition,http://openaccess.thecvf.com/content_cvpr_2017/html/Liu_SphereFace_Deep_Hypersphere_CVPR_2017_paper.html,CVPR,2017,https://github.com/wy1iu/sphereface,1048,2019-01-02
Bayesian GAN,http://papers.nips.cc/paper/6953-bayesian-gan.pdf,NIPS,2017,https://github.com/andrewgordonwilson/bayesgan,942,2019-01-02
Deep Feature Flow for Video Recognition,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhu_Deep_Feature_Flow_CVPR_2017_paper.html,CVPR,2017,https://github.com/msracver/Deep-Feature-Flow,966,2019-01-02
Pyramid Scene Parsing Network,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhao_Pyramid_Scene_Parsing_CVPR_2017_paper.html,CVPR,2017,https://github.com/hszhao/PSPNet,934,2019-01-02
Non-Local Neural Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Non-Local_Neural_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/facebookresearch/video-nonlocal-net,992,2019-01-02
Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,http://papers.nips.cc/paper/7098-efficient-modeling-of-latent-information-in-supervised-learning-using-gaussian-processes.pdf,NIPS,2017,https://github.com/SheffieldML/GPy,906,2019-01-02
Fully Convolutional Networks for Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2015/html/Long_Fully_Convolutional_Networks_2015_CVPR_paper.html,CVPR,2015,https://github.com/shekkizh/FCN.tensorflow,911,2019-01-02
Finding Tiny Faces,http://openaccess.thecvf.com/content_cvpr_2017/html/Hu_Finding_Tiny_Faces_CVPR_2017_paper.html,CVPR,2017,https://github.com/peiyunh/tiny,856,2019-01-02
Image Generation From Scene Graphs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Johnson_Image_Generation_From_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/google/sg2im,851,2019-01-02
Learning to Discover Cross-Domain Relations with Generative Adversarial Networks,http://proceedings.mlr.press/v70/kim17a.html,ICML,2017,https://github.com/carpedm20/DiscoGAN-pytorch,784,2019-01-02
"YOLO9000: Better, Faster, Stronger",http://openaccess.thecvf.com/content_cvpr_2017/html/Redmon_YOLO9000_Better_Faster_CVPR_2017_paper.html,CVPR,2017,https://github.com/philipperemy/yolo-9000,773,2019-01-02
Combining Markov Random Fields and Convolutional Neural Networks for Image Synthesis,http://openaccess.thecvf.com/content_cvpr_2016/html/Li_Combining_Markov_Random_CVPR_2016_paper.html,CVPR,2016,https://github.com/chuanli11/CNNMRF,731,2019-01-02
Toward Multimodal Image-to-Image Translation,http://papers.nips.cc/paper/6650-toward-multimodal-image-to-image-translation.pdf,NIPS,2017,https://github.com/junyanz/BiCycleGAN,794,2019-01-02
Synthetic Data for Text Localisation in Natural Images,http://openaccess.thecvf.com/content_cvpr_2016/html/Gupta_Synthetic_Data_for_CVPR_2016_paper.html,CVPR,2016,https://github.com/ankush-me/SynthText,787,2019-01-02
Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hara_Can_Spatiotemporal_3D_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/kenshohara/3D-ResNets-PyTorch,924,2019-01-02
Single-Shot Refinement Neural Network for Object Detection,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_Single-Shot_Refinement_Neural_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/sfzhang15/RefineDet,875,2019-01-02
FlowNet 2.0: Evolution of Optical Flow Estimation With Deep Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Ilg_FlowNet_2.0_Evolution_CVPR_2017_paper.html,CVPR,2017,https://github.com/lmb-freiburg/flownet2,720,2019-01-02
PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,http://papers.nips.cc/paper/7095-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-metric-space.pdf,NIPS,2017,https://github.com/charlesq34/pointnet2,772,2019-01-02
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,http://proceedings.mlr.press/v70/finn17a.html,ICML,2017,https://github.com/cbfinn/maml,729,2019-01-02
GANimation: Anatomically-aware Facial Animation from a Single Image,http://openaccess.thecvf.com/content_ECCV_2018/html/Albert_Pumarola_Anatomically_Coherent_Facial_ECCV_2018_paper.html,ECCV,2018,https://github.com/albertpumarola/GANimation,772,2019-01-02
Inferring and Executing Programs for Visual Reasoning,http://openaccess.thecvf.com/content_iccv_2017/html/Johnson_Inferring_and_Executing_ICCV_2017_paper.html,ICCV,2017,https://github.com/facebookresearch/clevr-iep,636,2019-01-02
Channel Pruning for Accelerating Very Deep Neural Networks,http://openaccess.thecvf.com/content_iccv_2017/html/He_Channel_Pruning_for_ICCV_2017_paper.html,ICCV,2017,https://github.com/yihui-he/channel-pruning,649,2019-01-02
Dilated Residual Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Yu_Dilated_Residual_Networks_CVPR_2017_paper.html,CVPR,2017,https://github.com/fyu/drn,640,2019-01-02
Accelerating Eulerian Fluid Simulation With Convolutional Networks,http://proceedings.mlr.press/v70/tompson17a.html,ICML,2017,https://github.com/google/FluidNet,570,2019-01-02
Detect-and-Track: Efficient Pose Estimation in Videos,http://openaccess.thecvf.com/content_cvpr_2018/papers/Girdhar_Detect-and-Track_Efficient_Pose_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/facebookresearch/DetectAndTrack,650,2019-01-02
DSOD: Learning Deeply Supervised Object Detectors From Scratch,http://openaccess.thecvf.com/content_iccv_2017/html/Shen_DSOD_Learning_Deeply_ICCV_2017_paper.html,ICCV,2017,https://github.com/szq0214/DSOD,582,2019-01-02
Relation Networks for Object Detection,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hu_Relation_Networks_for_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/msracver/Relation-Networks-for-Object-Detection,635,2019-01-02
Arbitrary Style Transfer in Real-Time With Adaptive Instance Normalization,http://openaccess.thecvf.com/content_iccv_2017/html/Huang_Arbitrary_Style_Transfer_ICCV_2017_paper.html,ICCV,2017,https://github.com/xunhuang1995/AdaIN-style,572,2019-01-02
Learning Disentangled Representations with Semi-Supervised Deep Generative Models,http://papers.nips.cc/paper/7174-learning-disentangled-representations-with-semi-supervised-deep-generative-models.pdf,NIPS,2017,https://github.com/probtorch/probtorch,556,2019-01-02
PointCNN,http://arxiv.org/abs/1801.07791v3,NIPS,2018,https://github.com/yangyanli/PointCNN,607,2019-01-02
"How Far Are We From Solving the 2D & 3D Face Alignment Problem? (And a Dataset of 230,000 3D Facial Landmarks)",http://openaccess.thecvf.com/content_iccv_2017/html/Bulat_How_Far_Are_ICCV_2017_paper.html,ICCV,2017,https://github.com/1adrianb/2D-and-3D-face-alignment,526,2019-01-02
Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,http://proceedings.mlr.press/v80/athalye18a.html,ICML,2018,https://github.com/anishathalye/obfuscated-gradients,535,2019-01-02
Simple Baselines for Human Pose Estimation and Tracking,http://openaccess.thecvf.com/content_ECCV_2018/html/Bin_Xiao_Simple_Baselines_for_ECCV_2018_paper.html,ECCV,2018,https://github.com/Microsoft/human-pose-estimation.pytorch,752,2019-01-02
Regressing Robust and Discriminative 3D Morphable Models With a Very Deep Neural Network,http://openaccess.thecvf.com/content_cvpr_2017/html/Tran_Regressing_Robust_and_CVPR_2017_paper.html,CVPR,2017,https://github.com/anhttran/3dmm_cnn,537,2019-01-02
Learning From Simulated and Unsupervised Images Through Adversarial Training,http://openaccess.thecvf.com/content_cvpr_2017/html/Shrivastava_Learning_From_Simulated_CVPR_2017_paper.html,CVPR,2017,https://github.com/carpedm20/simulated-unsupervised-tensorflow,492,2019-01-02
Plug & Play Generative Networks: Conditional Iterative Generation of Images in Latent Space,http://openaccess.thecvf.com/content_cvpr_2017/html/Nguyen_Plug__Play_CVPR_2017_paper.html,CVPR,2017,https://github.com/Evolving-AI-Lab/ppgn,487,2019-01-02
Taskonomy: Disentangling Task Transfer Learning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zamir_Taskonomy_Disentangling_Task_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/StanfordVL/taskonomy,502,2019-01-02
Which Training Methods for GANs do actually Converge?,http://proceedings.mlr.press/v80/mescheder18a.html,ICML,2018,https://github.com/LMescheder/GAN_stability,520,2019-01-02
Cascaded Pyramid Network for Multi-Person Pose Estimation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Cascaded_Pyramid_Network_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/chenyilun95/tf-cpn,497,2019-01-02
Pelee: A Real-Time Object Detection System on Mobile Devices,https://arxiv.org/pdf/1804.06882.pdf,NIPS,2018,https://github.com/Robert-JunWang/Pelee,548,2019-01-02
Generative Image Inpainting With Contextual Attention,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yu_Generative_Image_Inpainting_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JiahuiYu/generative_inpainting,609,2019-01-02
Neural 3D Mesh Renderer,http://openaccess.thecvf.com/content_cvpr_2018/papers/Kato_Neural_3D_Mesh_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/hiroharu-kato/neural_renderer,489,2019-01-02
SSH: Single Stage Headless Face Detector,http://openaccess.thecvf.com/content_iccv_2017/html/Najibi_SSH_Single_Stage_ICCV_2017_paper.html,ICCV,2017,https://github.com/mahyarnajibi/SSH,515,2019-01-02
"GMS: Grid-based Motion Statistics for Fast, Ultra-Robust Feature Correspondence",http://openaccess.thecvf.com/content_cvpr_2017/html/Bian_GMS_Grid-based_Motion_CVPR_2017_paper.html,CVPR,2017,https://github.com/JiawangBian/GMS-Feature-Matcher,460,2019-01-02
Dual Path Networks,http://papers.nips.cc/paper/7033-dual-path-networks.pdf,NIPS,2017,https://github.com/cypw/DPNs,451,2019-01-02
Inductive Representation Learning on Large Graphs,http://papers.nips.cc/paper/6703-inductive-representation-learning-on-large-graphs.pdf,NIPS,2017,https://github.com/williamleif/GraphSAGE,552,2019-01-02
Instance-Aware Semantic Segmentation via Multi-Task Network Cascades,http://openaccess.thecvf.com/content_cvpr_2016/html/Dai_Instance-Aware_Semantic_Segmentation_CVPR_2016_paper.html,CVPR,2016,https://github.com/daijifeng001/MNC,433,2019-01-02
Video Frame Interpolation via Adaptive Convolution,http://openaccess.thecvf.com/content_cvpr_2017/html/Niklaus_Video_Frame_Interpolation_CVPR_2017_paper.html,CVPR,2017,https://github.com/sniklaus/pytorch-sepconv,482,2019-01-02
Video Frame Interpolation via Adaptive Separable Convolution,http://openaccess.thecvf.com/content_iccv_2017/html/Niklaus_Video_Frame_Interpolation_ICCV_2017_paper.html,ICCV,2017,https://github.com/sniklaus/pytorch-sepconv,482,2019-01-02
Look at Boundary: A Boundary-Aware Face Alignment Algorithm,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wu_Look_at_Boundary_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/wywu/LAB,575,2019-01-02
Joint Detection and Identification Feature Learning for Person Search,http://openaccess.thecvf.com/content_cvpr_2017/html/Xiao_Joint_Detection_and_CVPR_2017_paper.html,CVPR,2017,https://github.com/ShuangLI59/person_search,459,2019-01-02
Zero-Shot Recognition via Semantic Embeddings and Knowledge Graphs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Zero-Shot_Recognition_via_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JudyYe/zero-shot-gcn,489,2019-01-02
Locally Optimized Product Quantization for Approximate Nearest Neighbor Search,http://openaccess.thecvf.com/content_cvpr_2014/html/Kalantidis_Locally_Optimized_Product_2014_CVPR_paper.html,CVPR,2014,https://github.com/yahoo/lopq,437,2019-01-02
Flow-Guided Feature Aggregation for Video Object Detection,http://openaccess.thecvf.com/content_iccv_2017/html/Zhu_Flow-Guided_Feature_Aggregation_ICCV_2017_paper.html,ICCV,2017,https://github.com/msracver/Flow-Guided-Feature-Aggregation,436,2019-01-02
In-Place Activated BatchNorm for Memory-Optimized Training of DNNs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Bulo_In-Place_Activated_BatchNorm_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/mapillary/inplace_abn,485,2019-01-02
End-to-End Recovery of Human Shape and Pose,http://openaccess.thecvf.com/content_cvpr_2018/papers/Kanazawa_End-to-End_Recovery_of_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/akanazawa/hmr,502,2019-01-02
Recurrent Highway Networks,http://proceedings.mlr.press/v70/zilly17a.html,ICML,2017,https://github.com/julian121266/RecurrentHighwayNetworks,397,2019-01-02
ICNet for Real-Time Semantic Segmentation on High-Resolution Images,http://openaccess.thecvf.com/content_ECCV_2018/html/Hengshuang_Zhao_ICNet_for_Real-Time_ECCV_2018_paper.html,ECCV,2018,https://github.com/hszhao/ICNet,415,2019-01-02
Deep Image Matting,http://openaccess.thecvf.com/content_cvpr_2017/html/Xu_Deep_Image_Matting_CVPR_2017_paper.html,CVPR,2017,https://github.com/Joker316701882/Deep-Image-Matting,434,2019-01-02
The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_The_Unreasonable_Effectiveness_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/richzhang/PerceptualSimilarity,447,2019-01-02
Detect to Track and Track to Detect,http://openaccess.thecvf.com/content_iccv_2017/html/Feichtenhofer_Detect_to_Track_ICCV_2017_paper.html,ICCV,2017,https://github.com/feichtenhofer/Detect-Track,387,2019-01-02
Distractor-aware Siamese Networks for Visual Object Tracking,http://openaccess.thecvf.com/content_ECCV_2018/html/Zheng_Zhu_Distractor-aware_Siamese_Networks_ECCV_2018_paper.html,ECCV,2018,https://github.com/foolwood/DaSiamRPN,545,2019-01-02
Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results,http://papers.nips.cc/paper/6719-mean-teachers-are-better-role-models-weight-averaged-consistency-targets-improve-semi-supervised-deep-learning-results.pdf,NIPS,2017,https://github.com/CuriousAI/mean-teacher/,347,2018-09-16
Frustum PointNets for 3D Object Detection From RGB-D Data,http://openaccess.thecvf.com/content_cvpr_2018/papers/Qi_Frustum_PointNets_for_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/charlesq34/frustum-pointnets,434,2019-01-02
Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,http://openaccess.thecvf.com/content_cvpr_2018/papers/Acuna_Efficient_Interactive_Annotation_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/fidler-lab/polyrnn-pp-pytorch,397,2019-01-02
Annotating Object Instances With a Polygon-RNN,http://openaccess.thecvf.com/content_cvpr_2017/html/Castrejon_Annotating_Object_Instances_CVPR_2017_paper.html,CVPR,2017,https://github.com/fidler-lab/polyrnn-pp-pytorch,397,2019-01-02
RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Lin_RefineNet_Multi-Path_Refinement_CVPR_2017_paper.html,CVPR,2017,https://github.com/guosheng/refinenet,379,2019-01-02
Learning Multi-Domain Convolutional Neural Networks for Visual Tracking,http://openaccess.thecvf.com/content_cvpr_2016/html/Nam_Learning_Multi-Domain_Convolutional_CVPR_2016_paper.html,CVPR,2016,https://github.com/HyeonseobNam/MDNet,350,2019-01-02
Gibson Env: Real-World Perception for Embodied Agents,http://openaccess.thecvf.com/content_cvpr_2018/papers/Xia_Gibson_Env_Real-World_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/StanfordVL/GibsonEnv,385,2019-01-02
Deep Lattice Networks and Partial Monotonic Functions,http://papers.nips.cc/paper/6891-deep-lattice-networks-and-partial-monotonic-functions.pdf,NIPS,2017,https://github.com/tensorflow/lattice,349,2019-01-02
RON: Reverse Connection With Objectness Prior Networks for Object Detection,http://openaccess.thecvf.com/content_cvpr_2017/html/Kong_RON_Reverse_Connection_CVPR_2017_paper.html,CVPR,2017,https://github.com/taokong/RON,345,2019-01-02
Detecting Oriented Text in Natural Images by Linking Segments,http://openaccess.thecvf.com/content_cvpr_2017/html/Shi_Detecting_Oriented_Text_CVPR_2017_paper.html,CVPR,2017,https://github.com/dengdan/seglink,364,2019-01-02
Universal Style Transfer via Feature Transforms,http://papers.nips.cc/paper/6642-universal-style-transfer-via-feature-transforms.pdf,NIPS,2017,https://github.com/Yijunmaverick/UniversalStyleTransfer,344,2019-01-02
Learning Deep Features for Discriminative Localization,http://openaccess.thecvf.com/content_cvpr_2016/html/Zhou_Learning_Deep_Features_CVPR_2016_paper.html,CVPR,2016,https://github.com/jazzsaxmafia/Weakly_detector,323,2019-01-02
Transparency by Design: Closing the Gap Between Performance and Interpretability in Visual Reasoning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Mascharka_Transparency_by_Design_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/davidmascharka/tbd-nets,317,2019-01-02
Soccer on Your Tabletop,http://openaccess.thecvf.com/content_cvpr_2018/papers/Rematas_Soccer_on_Your_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/krematas/soccerontable,338,2019-01-02
Noise2Noise: Learning Image Restoration without Clean Data,http://proceedings.mlr.press/v80/lehtinen18a.html,ICML,2018,https://github.com/yu4u/noise2noise,370,2019-01-02
Accurate Single Stage Detector Using Recurrent Rolling Convolution,http://openaccess.thecvf.com/content_cvpr_2017/html/Ren_Accurate_Single_Stage_CVPR_2017_paper.html,CVPR,2017,https://github.com/xiaohaoChen/rrc_detection,314,2019-01-02
Convolutional Two-Stream Network Fusion for Video Action Recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/Feichtenhofer_Convolutional_Two-Stream_Network_CVPR_2016_paper.html,CVPR,2016,https://github.com/feichtenhofer/twostreamfusion,342,2019-01-02
"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",http://openaccess.thecvf.com/content_cvpr_2018/papers/Yin_GeoNet_Unsupervised_Learning_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yzcjtr/GeoNet,359,2019-01-02
GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Qi_GeoNet_Geometric_Neural_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yzcjtr/GeoNet,359,2019-01-02
One-Shot Video Object Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Caelles_One-Shot_Video_Object_CVPR_2017_paper.html,CVPR,2017,https://github.com/scaelles/OSVOS-TensorFlow,316,2019-01-02
Neural Baby Talk,http://openaccess.thecvf.com/content_cvpr_2018/papers/Lu_Neural_Baby_Talk_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/jiasenlu/NeuralBabyTalk,332,2019-01-02
Learning Deconvolution Network for Semantic Segmentation,http://openaccess.thecvf.com/content_iccv_2015/html/Noh_Learning_Deconvolution_Network_ICCV_2015_paper.html,ICCV,2015,https://github.com/HyeonwooNoh/DeconvNet,296,2019-01-02
Efficient softmax approximation for GPUs,http://proceedings.mlr.press/v70/grave17a.html,ICML,2017,https://github.com/facebookresearch/adaptive-softmax,304,2019-01-02
